time,humidity_mean,humidity_median,humidity_max,humidity_p75,tcc_mean,tcc_median,tcc_max,tcc_p75,temp_mean,temp_median,temp_max,temp_p75,tp_mm_mean_aw,tp_mm_median,tp_mm_max,tp_mm_p75,tp_frac_gt_0.1,Kp,ap,keogram_mean,keogram_median,keogram_max
2018-01-08 15:00:00,86.44637298583984,86.78477478027344,90.76377868652344,89.01206970214844,0.1614778339862823,0.0208740234375,0.4607772827148437,0.2970123291015625,-24.96825790405273,-25.116180419921875,-20.900115966796875,-22.478973388671875,0.0002164438993523,0.0,0.0007859052857384,0.0004484900273382,0.0,3.0,15.0,85.88,78.29,232.34
2018-01-08 16:00:00,86.11121368408203,87.07855224609375,90.77996826171876,89.04412841796875,0.2293751984834671,0.0213165283203125,0.72674560546875,0.4909210205078125,-25.197898864746097,-25.43295288085937,-21.19052124023437,-22.71224975585937,0.0002298669787646,0.0,0.0007859052857384,0.0004484900273382,0.0,3.0,15.0,43.52,29.44,183.9
2018-01-08 17:00:00,86.02749633789062,86.83071899414062,91.43472290039062,89.70864868164062,0.221710205078125,0.0305633544921875,0.6971282958984375,0.4047088623046875,-25.08580207824707,-25.325927734375,-21.102783203125,-22.567138671875,0.0002356376832213,0.0,0.0008757197065278,0.0005381880328059,0.0,3.0,15.0,30.49,26.17,249.07
2018-01-09 02:00:00,77.87308502197266,80.08717346191406,88.30738830566406,84.99488830566406,0.136383056640625,0.0,0.678314208984375,0.247894287109375,-24.51947975158691,-23.816925048828125,-21.429229736328125,-21.644073486328125,8.401870395897951e-05,0.0,0.0004266767064109,8.969800546765327e-05,0.0,3.667,22.0,18.31,16.75,248.96
2018-01-09 11:00:00,73.77902221679688,77.97270202636719,88.03324890136719,82.10453796386719,0.0845557302236557,0.0,0.3154754638671875,0.1835479736328125,-25.568660736083984,-23.494171142578125,-22.573028564453125,-22.671661376953125,9.602337641697462e-06,0.0,8.980714483186603e-05,0.0,0.0,1.333,5.0,36.53,27.19,161.19
2018-01-09 12:00:00,73.63375091552734,78.25527954101562,88.63223266601562,82.51016235351562,0.0590807609260082,0.0,0.2074966430664062,0.1331100463867187,-25.950971603393555,-23.982818603515625,-22.620513916015625,-22.932525634765625,9.602337641697462e-06,0.0,8.980714483186603e-05,0.0,0.0,2.0,7.0,35.65,25.13,134.94
2018-01-09 13:00:00,73.38684844970703,78.57098388671875,88.91668701171875,82.70281982421875,0.0470945574343204,0.0,0.1638526916503906,0.0985260009765625,-25.850589752197266,-23.669708251953125,-22.428497314453125,-22.918487548828125,9.602337641697462e-06,0.0,8.980714483186603e-05,0.0,0.0,2.0,7.0,27.18,19.27,125.07
2018-01-09 14:00:00,73.00363159179688,78.68202209472656,88.36756896972656,82.26893615722656,0.061471726745367,0.0,0.1930046081542968,0.1719017028808593,-25.850807189941406,-23.712921142578125,-22.055938720703125,-22.813751220703125,9.602337641697462e-06,0.0,8.980714483186603e-05,0.0,0.0,2.0,7.0,27.38,20.69,102.24
2018-01-09 15:00:00,72.49811553955078,78.92042541503906,87.99366760253906,81.64698791503906,0.0543238334357738,0.0,0.1883392333984375,0.1242561340332031,-24.7874698638916,-22.56660461425781,-21.23188781738281,-21.60957336425781,9.602337641697462e-06,0.0,8.980714483186603e-05,0.0,0.0,2.0,7.0,26.88,23.28,89.04
2018-01-09 17:00:00,71.4037857055664,77.99092102050781,87.49482727050781,80.51533508300781,0.0218111667782068,0.0,0.1525535583496093,0.001068115234375,-25.80720901489257,-23.61680603027344,-21.52989196777344,-22.18247985839844,0.0,0.0,0.0,0.0,0.0,2.0,7.0,31.03,24.97,124.93
