segment,mean,median,max,sunlight_contamination
2019-01-11-9,7.66,7.45,19.83,0
2019-01-11-10,6.66,7.28,12.40,0
2019-01-11-11,6.15,6.75,12.50,0
2019-01-11-12,15.79,11.52,61.36,0
2019-01-11-13,19.87,19.85,43.36,0
2019-01-11-14,6.56,6.74,15.57,0
2019-01-11-15,3.50,3.97,7.27,0
2019-01-11-16,3.04,3.38,6.02,0
2019-01-11-17,15.41,8.31,83.72,0
2019-01-11-18,6.30,0.00,70.70,0
2019-01-11-19,0.00,0.00,0.00,0
2019-01-11-20,0.00,0.00,0.00,0
2019-01-11-21,0.00,0.00,0.00,0
2019-01-11-22,0.00,0.00,0.00,0
2019-01-11-23,0.00,0.00,0.00,0
2019-01-12-0,0.00,0.00,0.00,0
2019-01-12-1,2.19,0.00,47.78,0
2019-01-12-2,14.73,11.66,49.63,0
2019-01-12-3,5.15,5.59,13.52,0
2019-01-12-4,4.36,4.88,9.04,0
2019-01-12-5,3.83,4.28,8.53,0
2019-01-12-6,3.86,4.28,12.42,0
2019-01-12-7,3.78,4.27,7.93,0
2019-01-12-8,3.49,3.98,9.73,0
2019-01-12-9,3.16,3.68,6.46,0
2019-01-12-10,2.90,3.27,7.54,0
2019-01-12-11,2.97,3.27,6.65,0
2019-01-12-12,3.99,3.79,24.46,0
2019-01-12-13,14.00,13.89,37.91,0
2019-01-12-14,6.88,6.86,14.39,0
2019-01-12-15,3.87,4.09,8.52,0
2019-01-12-16,3.38,3.68,19.83,0
2019-01-12-17,19.05,10.14,161.51,0
2019-01-12-18,8.84,0.00,164.40,0
2019-01-12-19,0.00,0.00,0.00,0
2019-01-12-20,0.00,0.00,0.00,0
2019-01-12-21,0.00,0.00,0.00,0
2019-01-12-22,0.00,0.00,0.00,0
2019-01-12-23,0.00,0.00,0.00,0
2019-01-13-0,0.00,0.00,0.00,0
2019-01-13-1,3.92,0.00,68.75,0
2019-01-13-2,18.89,13.96,72.95,0
2019-01-13-3,6.35,6.77,12.18,0
2019-01-13-4,5.16,5.58,19.77,0
2019-01-13-5,5.75,6.17,11.38,0
2019-01-13-6,4.84,5.29,15.11,0
2019-01-13-7,3.90,4.16,6.95,0
2019-01-13-8,4.07,4.28,9.24,0
2019-01-13-9,5.41,5.85,9.95,0
2019-01-13-10,5.05,5.27,9.86,0
2019-01-13-11,4.76,5.08,8.96,0
2019-01-13-12,4.62,5.15,9.63,0
2019-01-13-13,3.89,4.38,17.70,0
2019-01-13-14,3.94,4.28,7.34,0
2019-01-13-15,3.62,3.79,7.52,0
2019-01-13-16,3.59,3.68,9.48,0
2019-01-13-17,21.06,12.88,210.39,0
2019-01-13-18,5.07,0.00,170.16,0
