segment,mean,median,max,sunlight_contamination,dark_segment
2024-01-13-5,12.67,11.76,36.85,0,1
2024-01-13-6,12.67,11.71,126.44,0,1
2024-01-13-7,12.88,11.78,35.72,0,1
2024-01-13-8,15.96,12.55,190.56,0,1
2024-01-13-9,19.83,14.08,187.33,0,1
2024-01-13-10,17.72,13.0,84.61,0,1
2024-01-13-11,15.96,12.28,88.18,0,1
2024-01-13-12,13.55,11.59,47.19,0,1
2024-01-13-13,15.1,12.96,52.07,0,1
2024-01-13-14,14.16,12.55,37.75,0,1
2024-01-13-15,13.43,11.96,41.53,0,1
2024-01-13-16,13.68,11.9,45.3,0,1
2024-01-13-17,43.18,34.22,164.64,0,0
2024-01-13-18,14.25,0.0,152.45,0,1
2024-01-13-19,0.0,0.0,0.0,0,1
2024-01-13-20,0.0,0.0,0.0,0,1
2024-01-13-21,0.0,0.0,0.0,0,1
2024-01-13-22,0.0,0.0,0.0,0,1
2024-01-13-23,0.0,0.0,0.0,0,1
2024-01-14-0,0.0,0.0,0.0,0,1
2024-01-14-1,12.95,0.0,230.3,0,1
2024-01-14-2,40.37,32.41,224.48,0,0
2024-01-14-3,15.09,14.14,33.99,0,1
2024-01-14-4,14.0,12.43,51.05,0,1
2024-01-14-5,15.84,12.61,177.49,0,1
2024-01-14-6,20.91,17.68,188.17,0,0
2024-01-14-7,15.57,15.67,79.41,0,0
2024-01-14-8,14.49,14.79,36.58,0,1
2024-01-14-9,18.56,18.38,203.29,0,0
2024-01-14-10,27.38,28.4,205.88,0,0
2024-01-14-11,44.48,40.67,93.94,0,0
2024-01-14-12,53.92,55.21,89.54,0,0
2024-01-14-13,43.16,43.76,78.09,0,0
2024-01-14-14,47.11,48.47,78.55,0,0
2024-01-14-15,58.77,60.2,105.25,0,0
2024-01-14-16,35.87,34.27,68.58,0,0
2024-01-14-17,76.62,82.58,150.89,0,0
2024-01-14-18,19.13,0.0,112.25,0,1
2024-01-14-19,0.0,0.0,0.0,0,1
2024-01-14-20,0.0,0.0,0.0,0,1
2024-01-14-21,0.0,0.0,0.0,0,1
2024-01-14-22,0.0,0.0,0.0,0,1
2024-01-14-23,0.0,0.0,0.0,0,1
2024-01-15-0,0.0,0.0,0.0,0,1
2024-01-15-1,11.38,0.0,117.45,0,1
2024-01-15-2,28.2,19.28,150.28,0,0
2024-01-15-3,9.63,10.17,15.58,0,1
2024-01-15-4,9.22,9.79,12.65,0,1
2024-01-15-5,9.35,9.93,22.96,0,1
2024-01-15-6,10.04,10.6,14.4,0,1
2024-01-15-7,13.2,13.53,26.33,0,1
2024-01-15-8,26.69,27.24,57.06,0,0
2024-01-15-9,24.01,25.48,47.13,0,0
2024-01-15-10,14.6,14.82,27.75,0,1
2024-01-15-11,13.96,14.78,24.89,0,1
2024-01-15-12,24.45,25.25,53.96,0,0
2024-01-15-13,19.61,20.34,42.44,0,0
2024-01-15-14,11.28,11.83,17.66,0,1
2024-01-15-15,9.87,10.44,19.55,0,1
2024-01-15-16,9.88,10.37,19.04,0,1
2024-01-15-17,29.24,18.75,160.68,0,0
2024-01-15-18,15.74,0.0,133.57,0,1
2024-01-15-19,0.0,0.0,0.0,0,1
2024-01-15-20,0.0,0.0,0.0,0,1
2024-01-15-21,0.0,0.0,0.0,0,1
2024-01-15-22,0.0,0.0,0.0,0,1
2024-01-15-23,0.0,0.0,0.0,0,1
2024-01-16-0,0.0,0.0,0.0,0,1
2024-01-16-1,9.57,0.0,93.02,0,1
2024-01-16-2,37.82,30.97,128.12,0,0
2024-01-16-3,13.83,14.36,21.46,0,1
2024-01-16-4,11.04,11.46,17.77,0,1
2024-01-16-5,11.23,11.71,17.36,0,1
2024-01-16-6,10.47,11.0,15.22,0,1
2024-01-16-7,10.38,10.85,16.18,0,1
2024-01-16-8,10.96,11.49,16.84,0,1
2024-01-16-9,10.49,10.96,16.23,0,1
2024-01-16-10,14.93,15.05,28.35,0,0
2024-01-16-11,12.69,13.3,20.08,0,1
2024-01-16-12,10.15,10.67,15.3,0,1
2024-01-16-13,11.97,11.94,30.71,0,1
2024-01-16-14,14.92,15.55,22.89,0,0
2024-01-16-15,13.53,14.1,43.94,0,1
2024-01-16-16,10.79,10.8,34.99,0,1
2024-01-16-17,27.65,15.47,161.82,0,0
2024-01-16-18,14.39,0.0,133.38,0,1
2024-01-16-19,0.0,0.0,0.0,0,1
2024-01-16-20,0.0,0.0,0.0,0,1
2024-01-16-21,0.0,0.0,0.0,0,1
2024-01-16-22,0.0,0.0,0.0,0,1
2024-01-16-23,0.0,0.0,0.0,0,1
2024-01-17-0,0.0,0.0,0.0,0,1
