segment,mean,median,max
2021-04-10-6,19.15,16.71,224.48
2021-04-10-12,20.27,18.26,104.96
2021-04-11-6,23.29,15.8,224.48
2021-04-11-7,20.44,18.68,125.83
2021-04-11-9,16.9,17.7,31.13
2021-04-12-10,16.47,17.57,32.72
2021-04-12-12,24.18,21.92,61.48
2021-04-13-7,17.01,15.85,94.13
2021-04-13-8,15.46,16.96,28.14
2021-04-13-9,25.44,19.56,133.34
2021-04-13-10,52.82,54.96,127.59
2021-04-13-11,60.2,66.64,109.64
2021-04-13-12,49.89,51.98,94.03
2021-04-14-12,23.53,24.68,53.74
2021-04-15-7,36.69,32.98,73.67
2021-04-15-12,27.74,24.21,88.34
2021-04-18-7,81.68,71.75,241.65
2021-04-18-8,99.04,91.41,248.05
2021-04-18-9,95.77,92.2,247.31
2021-04-18-10,51.84,38.77,208.98
2021-04-18-11,58.17,56.75,176.4
2021-04-18-12,61.55,75.94,143.39
2021-04-19-7,44.99,48.17,138.16
2021-04-19-8,54.75,33.04,242.92
2021-04-19-9,91.69,92.0,248.96
2021-04-19-10,45.83,43.67,247.93
2021-04-19-11,34.44,34.66,74.15
2021-04-19-12,36.01,52.0,96.14
2021-04-20-7,59.56,65.21,178.85
2021-04-20-8,65.89,70.83,139.54
2021-04-20-9,61.45,51.06,230.48
2021-04-20-10,36.48,32.76,153.56
2021-04-20-11,45.2,47.88,247.82
2021-04-20-12,47.46,61.04,114.49
2021-04-22-7,26.12,35.03,129.23
2021-04-22-8,28.62,28.35,115.46
2021-04-22-9,39.03,31.99,139.95
2021-04-22-10,42.13,45.11,99.66
2021-04-22-11,44.78,38.52,140.08
2021-04-23-7,25.35,22.81,136.69
2021-04-23-8,54.75,40.51,227.56
2021-04-23-9,50.23,50.13,117.93
2021-04-23-10,49.59,50.13,92.2
2021-04-23-11,43.98,42.64,78.19
2021-04-24-8,77.8,63.56,239.45
2021-04-24-9,47.86,37.12,238.85
2021-04-24-10,77.88,77.61,228.14
2021-04-24-11,68.12,66.91,133.96
2021-04-25-8,174.96,209.01,249.07
2021-04-25-9,132.52,129.28,249.07
2021-04-25-10,100.06,98.8,206.9
2021-04-25-11,83.02,67.18,233.77
